"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order"
"11786","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","131","486765","0.0-8.0-1.0-1.1-0.1-1.59","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"765","","f","psychophysics","132","488544","0.0-8.0-1.0-1.1-0.1-0.60","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","match","","","","","","","","","","key","f","34.334239999999994","1280","716","f","true","match","img/square.png","强她","强她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","133","489045","0.0-8.0-1.0-1.1-0.1-1.60","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"897","","j","psychophysics","134","490945","0.0-8.0-1.0-1.1-0.1-0.61","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","33.94130909090904","1280","716","f","false","match","img/square.png","强她","强她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","135","491448","0.0-8.0-1.0-1.1-0.1-1.61","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"912","","j","psychophysics","136","493380","0.0-8.0-1.0-1.1-0.1-0.62","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","34.24334545454582","1280","716","j","true","nonmatch","img/ellipse.png","强我","弱她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","137","493881","0.0-8.0-1.0-1.1-0.1-1.62","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"873","","f","psychophysics","138","495757","0.0-8.0-1.0-1.1-0.1-0.63","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","match","","","","","","","","","","key","f","33.643685185185554","1280","716","f","true","match","img/square.png","强她","强她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","139","496260","0.0-8.0-1.0-1.1-0.1-1.63","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"914","","j","psychophysics","140","498183","0.0-8.0-1.0-1.1-0.1-0.64","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","33.94032727272715","1280","716","j","true","nonmatch","img/square.png","强我","强她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","141","498685","0.0-8.0-1.0-1.1-0.1-1.64","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"893","","j","psychophysics","142","500580","0.0-8.0-1.0-1.1-0.1-0.65","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","33.94123636363604","1280","716","j","true","nonmatch","img/ellipse.png","强她","弱她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","143","501081","0.0-8.0-1.0-1.1-0.1-1.65","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"1151","","j","psychophysics","144","503262","0.0-8.0-1.0-1.1-0.1-0.66","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","33.599015873016064","1280","716","j","true","nonmatch","img/ellipse.png","弱我","弱她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","145","503764","0.0-8.0-1.0-1.1-0.1-1.66","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"1041","","f","psychophysics","146","505807","0.0-8.0-1.0-1.1-0.1-0.67","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","match","","","","","","","","","","key","f","33.61727118644058","1280","716","f","true","match","img/ellipse.png","弱她","弱她","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","147","506308","0.0-8.0-1.0-1.1-0.1-1.67","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"937","","j","psychophysics","148","508265","0.0-8.0-1.0-1.1-0.1-0.68","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","nonmatch","","","","","","","","","","key","j","33.04696551724116","1280","716","j","true","nonmatch","img/hexagon.png","强我","弱我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","149","508767","0.0-8.0-1.0-1.1-0.1-1.68","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"null","","null","psychophysics","150","511015","0.0-8.0-1.0-1.1-0.1-0.69","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","null","","","","","","","","","","key","null","33.84783076923072","1280","716","j","false","nonmatch","img/diamond.png","弱我","强我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","html-keyboard-response","151","511517","0.0-8.0-1.0-1.1-0.1-1.69","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"912","","f","psychophysics","152","513431","0.0-8.0-1.0-1.1-0.1-0.70","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","match","","","","","","","","","","key","f","33.94023636363722","1280","716","j","false","nonmatch","img/hexagon.png","强她","弱我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","153","513932","0.0-8.0-1.0-1.1-0.1-1.70","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"1154","","f","psychophysics","154","516112","0.0-8.0-1.0-1.1-0.1-0.71","4","3","3","3","2","4","2","3","4","4","5","1","0","0","0","-1","-1","0","0","4","4","5","4","4","3","4","4","4","4","5","6","5","7","7","7","7","7","7","4","6","4","5","5","3","4","3","3","3","3","3","5","5","4","4","4","3","5","3","4","5","5","3","4","4","5","5","4","6","6","4","5","5","3","5","5","5","4","5","682886971621638144","nyf","448","Female","[""好她"",""坏她"",""好我"",""坏我""]","[""强她"",""弱她"",""强我"",""弱我""]","","","","","","","","match","","","","","","","","","","key","f","33.59966666666728","1280","716","f","true","match","img/hexagon.png","弱我","弱我","prac_ALT2_ability","practice_ability","","","","","","","",""
